theta/pi: 0.38467, sin: 0.93508
   , cos: 0.35444, 1/sin: 1.06943
=================================================
q_max / q_scl, theta/pi, phi/pi
-------------
3|sin(θr)| + 3|cos(θr)| = 3.86856   (n=3, m=3)
5|sin(θr)| + -2|cos(θr)| = 3.9665   (n=5, m=-2)
4|sin(θr)| + 1|cos(θr)| = 4.09475   (n=4, m=1)
3|sin(θr)| + 4|cos(θr)| = 4.22301   (n=3, m=4)
5|sin(θr)| + -1|cos(θr)| = 4.32094   (n=5, m=-1)
4|sin(θr)| + 2|cos(θr)| = 4.4492   (n=4, m=2)
3|sin(θr)| + 5|cos(θr)| = 4.57745   (n=3, m=5)
5|sin(θr)| + 0|cos(θr)| = 4.67539   (n=5, m=0)
4|sin(θr)| + 3|cos(θr)| = 4.80364   (n=4, m=3)
5|sin(θr)| + 1|cos(θr)| = 5.02983   (n=5, m=1)
4|sin(θr)| + 4|cos(θr)| = 5.15809   (n=4, m=4)
5|sin(θr)| + 2|cos(θr)| = 5.38427   (n=5, m=2)
4|sin(θr)| + 5|cos(θr)| = 5.51253   (n=4, m=5)
5|sin(θr)| + 3|cos(θr)| = 5.73872   (n=5, m=3)
5|sin(θr)| + 4|cos(θr)| = 6.09316   (n=5, m=4)
5|sin(θr)| + 5|cos(θr)| = 6.44761   (n=5, m=5)
